id,nome,valore,stato
1,Item_311,438.59,archiviato
2,Item_467,497.89,completato
3,Item_766,466.14,errore
4,Item_745,300.86,pendente
5,Item_599,444.25,pendente
6,Item_789,280.04,archiviato
7,Item_613,172.18,errore
8,Item_336,215.84,archiviato
9,Item_540,104.82,archiviato
10,Item_572,34.64,archiviato
11,Item_647,340.5,pendente
12,Item_253,383.01,in_corso
13,Item_410,80.19,in_corso
14,Item_412,14.83,errore
15,Item_382,260.67,in_corso
16,Item_317,97.4,in_corso
17,Item_208,431.74,errore
18,Item_520,359.88,in_corso
19,Item_910,21.64,errore
20,Item_701,496.44,in_corso
21,Item_687,360.55,completato
22,Item_212,442.61,errore
23,Item_510,45.23,completato
24,Item_294,34.88,errore
25,Item_237,293.7,archiviato
26,Item_680,410.54,completato
27,Item_545,210.71,in_corso
28,Item_639,470.46,in_corso
29,Item_783,210.66,completato
30,Item_999,97.51,pendente
31,Item_358,222.51,errore
32,Item_443,267.99,errore
33,Item_196,399.95,completato
34,Item_873,112.32,in_corso
35,Item_244,270.99,errore
36,Item_496,309.78,errore
37,Item_723,278.52,completato
38,Item_773,184.05,completato
39,Item_706,435.25,errore
40,Item_157,403.63,in_corso
41,Item_523,28.28,archiviato
42,Item_897,423.83,in_corso
43,Item_697,233.93,completato
44,Item_410,448.15,completato
45,Item_400,415.1,archiviato
46,Item_505,165.36,errore
47,Item_939,293.67,in_corso
48,Item_270,311.52,pendente
49,Item_973,194.91,errore
50,Item_263,141.86,completato
